State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.011887233121478172	0.9867649514522764	0.0	0.0	9.704965162151424E-4	0.0	0.0	3.773189100303427E-4	0.0	0.0
2	4.3347971881207016E-4	0.9973949331149982	3.633171604703782E-4	9.85455631180258E-7	7.241576963760628E-4	7.944985099255413E-4	4.449000691202598E-6	9.199082552763605E-6	2.7243212337399285E-4	2.5481371685520164E-6
3	0.0	0.9921510065727394	0.0062569657707395735	0.0	0.0	0.0	0.0	0.0012544874898463916	0.0	3.3754016667465335E-4
4	0.0	0.025038910577256168	0.0	0.17995890437106077	0.0	0.0	0.1322946013336748	0.4776744262802881	0.0	0.18503315743772006
5	0.0	0.9874370850999278	5.53416609709258E-4	0.0	0.009837052400710821	7.88109079711483E-5	0.0	0.0011928339329616146	9.002314809237078E-4	5.695677958500003E-7
6	0.0	0.9964080658288861	0.0	0.0	5.752652530487996E-4	0.0023567647192185045	1.2504328747320735E-4	5.348609113733981E-4	0.0	0.0
7	0.0	0.04798028672316443	0.0	0.1203972728834922	0.0029735072261021333	0.0	0.14327323439732637	0.5837144991973534	0.0	0.10166119957256145
8	1.4133827182123647E-4	7.874621444571506E-4	1.4966746841021448E-4	0.037871181219606094	3.947569225858048E-4	5.385263414883766E-4	0.04878621039982759	0.8819198954912448	8.710866459045693E-6	0.029402250874099714
9	7.558385468669063E-5	0.9921851620690835	0.0	0.0	0.0	0.0	0.0	8.107582156969912E-8	0.007739173000408129	0.0
10	0.0	0.013810039052895682	3.839573946154296E-4	0.13568688234083168	0.003146890509666385	0.0	0.08892723443220968	0.29519694237035327	0.0	0.4628480538994279
